id,Rows_Timeline Chart,Columns_Timeline Chart,Category,Date_Born,Full Name,Gender,Id,Is Recipient Active,Table Name_Award Only,Table Name_Birth Death,Born country,Date_Award,Date_Died,Date_Earliest,Date_End,First Name,Last Name,Motivation,Motivaton_Cleaned,Table Name,Age (Years) at Award,Decade_Born,Year,Born_Country_Latitude,Born_Country_Longitude,Born_Country_coordinates,continent
17,0,18993,Physics,Nov 1869,Gustaf Dalén,Male,17,Deceased,Start,Start,Sweden,Dec 1912,Dec 1937,Nov 1817,Dec 1937,Gustaf,Dalén,"""for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys""",for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys,Start,43,1860,1912,60.12816100000001,18.643501,"60.12816100000001, 18.643501",Europe
18,0,13079,Physics,Sep 1853,Heike Kamerlingh Onnes,Male,18,Deceased,Start,Start,Netherlands,Dec 1913,Feb 1926,Nov 1817,Feb 1926,Heike,Kamerlingh Onnes,"""for his investigations on the properties of matter at low temperatures which led inter alia to the production of liquid helium""",for his investigations on the properties of matter at low temperatures which led inter alia to the production of liquid helium,Start,60,1850,1913,52.132633,5.291265999999999,"52.132633, 5.291265999999999",Europe
19,0,22593,Physics,Oct 1879,Max von Laue,Male,19,Deceased,Start,Start,Germany,Dec 1914,Apr 1960,Nov 1817,Apr 1960,Max,von Laue,"""for his discovery of the diffraction of X-rays by crystals""",for his discovery of the diffraction of X-rays by crystals,Start,35,1870,1914,51.165691,10.451526,"51.165691, 10.451526",Europe
20,0,16285,Physics,Jul 1862,William Bragg,Male,20,Deceased,Start,Start,United Kingdom,Dec 1915,Mar 1942,Nov 1817,Mar 1942,William,Bragg,"""for their services in the analysis of crystal structure by means of X-rays""",for their services in the analysis of crystal structure by means of X-rays,Start,53,1860,1915,55.378051,-3.435973,"55.378051, -3.435973",Europe
21,0,26419,Physics,Mar 1890,Lawrence Bragg,Male,21,Deceased,Start,Start,Australia,Dec 1915,Jul 1971,Nov 1817,Jul 1971,Lawrence,Bragg,"""for their services in the analysis of crystal structure by means of X-rays""",for their services in the analysis of crystal structure by means of X-rays,Start,25,1890,1915,-25.274398,133.775136,"-25.274398, 133.775136",Australia
22,0,21739,Physics,Jun 1877,Charles Glover Barkla,Male,22,Deceased,Start,Start,United Kingdom,Dec 1917,Oct 1944,Nov 1817,Oct 1944,Charles Glover,Barkla,"""for his discovery of the characteristic R&ouml;ntgen radiation of the elements""",for his discovery of the characteristic R&ouml;ntgen radiation of the elements,Start,40,1870,1917,55.378051,-3.435973,"55.378051, -3.435973",Europe
23,0,14754,Physics,Apr 1858,Max Planck,Male,23,Deceased,Start,Start,Schleswig (now Germany),Dec 1918,Oct 1947,Nov 1817,Oct 1947,Max,Planck,"""in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta""",in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta,Start,60,1850,1918,54.21936720000001,9.6961167,"54.21936720000001, 9.6961167",Europe
24,0,20590,Physics,Apr 1874,Johannes Stark,Male,24,Deceased,Start,Start,Germany,Dec 1919,Jun 1957,Nov 1817,Jun 1957,Johannes,Stark,"""for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields""",for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields,Start,45,1870,1919,51.165691,10.451526,"51.165691, 10.451526",Europe
25,0,15783,Physics,Feb 1861,Charles Edouard Guillaume,Male,25,Deceased,Start,Start,Switzerland,Dec 1920,Jun 1938,Nov 1817,Jun 1938,Charles Edouard,Guillaume,"""in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys""",in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys,Start,59,1860,1920,46.818188,8.227511999999999,"46.818188, 8.227511999999999",Europe
26,0,22384,Physics,Mar 1879,Albert Einstein,Male,26,Deceased,Start,Start,Germany,Dec 1921,Apr 1955,Nov 1817,Apr 1955,Albert,Einstein,"""for his services to Theoretical Physics and especially for his discovery of the law of the photoelectric effect""",for his services to Theoretical Physics and especially for his discovery of the law of the photoelectric effect,Start,42,1870,1921,51.165691,10.451526,"51.165691, 10.451526",Europe
27,0,24783,Physics,Oct 1885,Niels Bohr,Male,27,Deceased,Start,Start,Denmark,Dec 1922,Nov 1962,Nov 1817,Nov 1962,Niels,Bohr,"""for his services in the investigation of the structure of atoms and of the radiation emanating from them""",for his services in the investigation of the structure of atoms and of the radiation emanating from them,Start,37,1880,1922,56.26392,9.501785,"56.26392, 9.501785",Europe
28,0,18375,Physics,Mar 1868,Robert A. Millikan,Male,28,Deceased,Start,Start,USA,Dec 1923,Dec 1953,Nov 1817,Dec 1953,Robert A.,Millikan,"""for his work on the elementary charge of electricity and on the photoelectric effect""",for his work on the elementary charge of electricity and on the photoelectric effect,Start,55,1860,1923,37.09024,-95.712891,"37.09024, -95.712891",North America
29,0,25205,Physics,Dec 1886,Manne Siegbahn,Male,29,Deceased,Start,Start,Sweden,Dec 1924,Sep 1978,Nov 1817,Sep 1978,Manne,Siegbahn,"""for his discoveries and research in the field of X-ray spectroscopy""",for his discoveries and research in the field of X-ray spectroscopy,Start,38,1880,1924,60.12816100000001,18.643501,"60.12816100000001, 18.643501",Europe
30,0,23645,Physics,Aug 1882,James Franck,Male,30,Deceased,Start,Start,Germany,Dec 1925,May 1964,Nov 1817,May 1964,James,Franck,"""for their discovery of the laws governing the impact of an electron upon an atom""",for their discovery of the laws governing the impact of an electron upon an atom,Start,43,1880,1925,51.165691,10.451526,"51.165691, 10.451526",Europe
31,0,25436,Physics,Jul 1887,Gustav Hertz,Male,31,Deceased,Start,Start,Germany,Dec 1925,Oct 1975,Nov 1817,Oct 1975,Gustav,Hertz,"""for their discovery of the laws governing the impact of an electron upon an atom""",for their discovery of the laws governing the impact of an electron upon an atom,Start,38,1880,1925,51.165691,10.451526,"51.165691, 10.451526",Europe
32,0,19297,Physics,Sep 1870,Jean Baptiste Perrin,Male,32,Deceased,Start,Start,France,Dec 1926,Apr 1942,Nov 1817,Apr 1942,Jean Baptiste,Perrin,"""for his work on the discontinuous structure of matter and especially for his discovery of sedimentation equilibrium""",for his work on the discontinuous structure of matter and especially for his discovery of sedimentation equilibrium,Start,56,1870,1926,46.227638,2.213749,"46.227638, 2.213749",Europe
33,0,27313,Physics,Sep 1892,Arthur H. Compton,Male,33,Deceased,Start,Start,USA,Dec 1927,Mar 1962,Nov 1817,Mar 1962,Arthur H.,Compton,"""for his discovery of the effect named after him""",for his discovery of the effect named after him,Start,35,1890,1927,37.09024,-95.712891,"37.09024, -95.712891",North America
34,0,18704,Physics,Feb 1869,C.T.R. Wilson,Male,34,Deceased,Start,Start,Scotland,Dec 1927,Nov 1959,Nov 1817,Nov 1959,C.T.R.,Wilson,"""for his method of making the paths of electrically charged particles visible by condensation of vapour""",for his method of making the paths of electrically charged particles visible by condensation of vapour,Start,58,1860,1927,56.49067119999999,-4.2026458,"56.49067119999999, -4.2026458",Europe
35,0,22427,Physics,Apr 1879,Owen Willans Richardson,Male,35,Deceased,Start,Start,United Kingdom,Dec 1928,Feb 1959,Nov 1817,Feb 1959,Owen Willans,Richardson,"""for his work on the thermionic phenomenon and especially for the discovery of the law named after him""",for his work on the thermionic phenomenon and especially for the discovery of the law named after him,Start,49,1870,1928,55.378051,-3.435973,"55.378051, -3.435973",Europe
36,0,27287,Physics,Aug 1892,Louis de Broglie,Male,36,Deceased,Start,Start,France,Dec 1929,Mar 1987,Nov 1817,Mar 1987,Louis,de Broglie,"""for his discovery of the wave nature of electrons""",for his discovery of the wave nature of electrons,Start,37,1890,1929,46.227638,2.213749,"46.227638, 2.213749",Europe
37,0,25910,Physics,Nov 1888,Sir Chandrasekhara Venkata Raman,Male,37,Deceased,Start,Start,India,Dec 1930,Nov 1970,Nov 1817,Nov 1970,Sir Chandrasekhara Venkata,Raman,"""for his work on the scattering of light and for the discovery of the effect named after him""",for his work on the scattering of light and for the discovery of the effect named after him,Start,42,1880,1930,20.593684,78.96288,"20.593684, 78.96288",Asia
38,0,30685,Physics,Dec 1901,Werner Heisenberg,Male,38,Deceased,Start,Start,Germany,Dec 1932,Feb 1976,Nov 1817,Feb 1976,Werner,Heisenberg,"""for the creation of quantum mechanics the application of which has inter alia led to the discovery of the allotropic forms of hydrogen""",for the creation of quantum mechanics the application of which has inter alia led to the discovery of the allotropic forms of hydrogen,Start,31,1900,1932,51.165691,10.451526,"51.165691, 10.451526",Europe
39,0,25457,Physics,Aug 1887,Erwin Schrödinger,Male,39,Deceased,Start,Start,Austria,Dec 1933,Jan 1961,Nov 1817,Jan 1961,Erwin,Schrödinger,"""for the discovery of new productive forms of atomic theory""",for the discovery of new productive forms of atomic theory,Start,46,1880,1933,47.516231,14.550072,"47.516231, 14.550072",Europe
40,0,30931,Physics,Aug 1902,Paul A.M. Dirac,Male,40,Deceased,Start,Start,United Kingdom,Dec 1933,Oct 1984,Nov 1817,Oct 1984,Paul A.M.,Dirac,"""for the discovery of new productive forms of atomic theory""",for the discovery of new productive forms of atomic theory,Start,31,1900,1933,55.378051,-3.435973,"55.378051, -3.435973",Europe
41,0,26987,Physics,Oct 1891,James Chadwick,Male,41,Deceased,Start,Start,United Kingdom,Dec 1935,Jul 1974,Nov 1817,Jul 1974,James,Chadwick,"""for the discovery of the neutron""",for the discovery of the neutron,Start,44,1890,1935,55.378051,-3.435973,"55.378051, -3.435973",Europe
42,0,23947,Physics,Jun 1883,Victor F. Hess,Male,42,Deceased,Start,Start,Austria,Dec 1936,Dec 1964,Nov 1817,Dec 1964,Victor F.,Hess,"""for his discovery of cosmic radiation""",for his discovery of cosmic radiation,Start,53,1880,1936,47.516231,14.550072,"47.516231, 14.550072",Europe
43,0,32053,Physics,Sep 1905,Carl D. Anderson,Male,43,Deceased,Start,Start,USA,Dec 1936,Jan 1991,Nov 1817,Jan 1991,Carl D.,Anderson,"""for his discovery of the positron""",for his discovery of the positron,Start,31,1900,1936,37.09024,-95.712891,"37.09024, -95.712891",North America
44,0,23337,Physics,Oct 1881,Clinton Davisson,Male,44,Deceased,Start,Start,USA,Dec 1937,Feb 1958,Nov 1817,Feb 1958,Clinton,Davisson,"""for their experimental discovery of the diffraction of electrons by crystals""",for their experimental discovery of the diffraction of electrons by crystals,Start,56,1880,1937,37.09024,-95.712891,"37.09024, -95.712891",North America
45,0,27183,Physics,May 1892,George Paget Thomson,Male,45,Deceased,Start,Start,United Kingdom,Dec 1937,Sep 1975,Nov 1817,Sep 1975,George Paget,Thomson,"""for their experimental discovery of the diffraction of electrons by crystals""",for their experimental discovery of the diffraction of electrons by crystals,Start,45,1890,1937,55.378051,-3.435973,"55.378051, -3.435973",Europe
46,0,30618,Physics,Sep 1901,Enrico Fermi,Male,46,Deceased,Start,Start,Italy,Dec 1938,Nov 1954,Nov 1817,Nov 1954,Enrico,Fermi,"""for his demonstrations of the existence of new radioactive elements produced by neutron irradiation and for his related discovery of nuclear reactions brought about by slow neutrons""",for his demonstrations of the existence of new radioactive elements produced by neutron irradiation and for his related discovery of nuclear reactions brought about by slow neutrons,Start,37,1900,1938,41.87194,12.56738,"41.87194, 12.56738",Europe
47,0,30566,Physics,Aug 1901,Ernest Lawrence,Male,47,Deceased,Start,Start,USA,Dec 1939,Aug 1958,Nov 1817,Aug 1958,Ernest,Lawrence,"""for the invention and development of the cyclotron and for results obtained with it especially with regard to artificial radioactive elements""",for the invention and development of the cyclotron and for results obtained with it especially with regard to artificial radioactive elements,Start,38,1900,1939,37.09024,-95.712891,"37.09024, -95.712891",North America
48,0,25646,Physics,Feb 1888,Otto Stern,Male,48,Deceased,Start,Start,Germany (now Poland),Dec 1943,Aug 1969,Nov 1817,Aug 1969,Otto,Stern,"""for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton""",for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton,Start,55,1880,1943,51.919438,19.145136,"51.919438, 19.145136",Europe
49,0,29461,Physics,Jul 1898,Isidor Isaac Rabi,Male,49,Deceased,Start,Start,Austria-Hungary (now Poland),Dec 1944,Jan 1988,Nov 1817,Jan 1988,Isidor Isaac,Rabi,"""for his resonance method for recording the magnetic properties of atomic nuclei""",for his resonance method for recording the magnetic properties of atomic nuclei,Start,46,1890,1944,51.919438,19.145136,"51.919438, 19.145136",Europe
50,0,30096,Physics,Apr 1900,Wolfgang Pauli,Male,50,Deceased,Start,Start,Austria,Dec 1945,Dec 1958,Nov 1817,Dec 1958,Wolfgang,Pauli,"""for the discovery of the Exclusion Principle also called the Pauli Principle""",for the discovery of the Exclusion Principle also called the Pauli Principle,Start,45,1900,1945,47.516231,14.550072,"47.516231, 14.550072",Europe
51,0,23518,Physics,Apr 1882,Percy W. Bridgman,Male,51,Deceased,Start,Start,USA,Dec 1946,Aug 1961,Nov 1817,Aug 1961,Percy W.,Bridgman,"""for the invention of an apparatus to produce extremely high pressures and for the discoveries he made therewith in the field of high pressure physics""",for the invention of an apparatus to produce extremely high pressures and for the discoveries he made therewith in the field of high pressure physics,Start,64,1880,1946,37.09024,-95.712891,"37.09024, -95.712891",North America
52,0,27309,Physics,Sep 1892,Edward V. Appleton,Male,52,Deceased,Start,Start,United Kingdom,Dec 1947,Apr 1965,Nov 1817,Apr 1965,Edward V.,Appleton,"""for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer""",for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer,Start,55,1890,1947,55.378051,-3.435973,"55.378051, -3.435973",Europe
53,0,29208,Physics,Nov 1897,Patrick M.S. Blackett,Male,53,Deceased,Start,Start,United Kingdom,Dec 1948,Jul 1974,Nov 1817,Jul 1974,Patrick M.S.,Blackett,"""for his development of the Wilson cloud chamber method and his discoveries therewith in the fields of nuclear physics and cosmic radiation""",for his development of the Wilson cloud chamber method and his discoveries therewith in the fields of nuclear physics and cosmic radiation,Start,51,1890,1948,55.378051,-3.435973,"55.378051, -3.435973",Europe
54,0,32560,Physics,Jan 1907,Hideki Yukawa,Male,54,Deceased,Start,Start,Japan,Dec 1949,Sep 1981,Nov 1817,Sep 1981,Hideki,Yukawa,"""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces""",for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces,Start,42,1900,1949,36.204824,138.252924,"36.204824, 138.252924",Asia
55,0,31415,Physics,Dec 1903,Cecil Powell,Male,55,Deceased,Start,Start,United Kingdom,Dec 1950,Aug 1969,Nov 1817,Aug 1969,Cecil,Powell,"""for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method""",for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method,Start,47,1900,1950,55.378051,-3.435973,"55.378051, -3.435973",Europe
56,0,29033,Physics,May 1897,John Cockcroft,Male,56,Deceased,Start,Start,United Kingdom,Dec 1951,Sep 1967,Nov 1817,Sep 1967,John,Cockcroft,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles,Start,54,1890,1951,55.378051,-3.435973,"55.378051, -3.435973",Europe
57,0,31355,Physics,Oct 1903,Ernest T.S. Walton,Male,57,Deceased,Start,Start,Ireland,Dec 1951,Jun 1995,Nov 1817,Jun 1995,Ernest T.S.,Walton,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles,Start,48,1900,1951,53.77975540000001,-7.3055309,"53.77975540000001, -7.3055309",Europe
58,0,32103,Physics,Oct 1905,Felix Bloch,Male,58,Deceased,Start,Start,Switzerland,Dec 1952,Sep 1983,Nov 1817,Sep 1983,Felix,Bloch,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith,Start,47,1900,1952,46.818188,8.227511999999999,"46.818188, 8.227511999999999",Europe
59,0,34606,Physics,Aug 1912,E. M. Purcell,Male,59,Deceased,Start,Start,USA,Dec 1952,Mar 1997,Nov 1817,Mar 1997,E. M.,Purcell,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith,Start,40,1910,1952,37.09024,-95.712891,"37.09024, -95.712891",North America
60,0,25796,Physics,Jul 1888,Frits Zernike,Male,60,Deceased,Start,Start,Netherlands,Dec 1953,Mar 1966,Nov 1817,Mar 1966,Frits,Zernike,"""for his demonstration of the phase contrast method especially for his invention of the phase contrast microscope""",for his demonstration of the phase contrast method especially for his invention of the phase contrast microscope,Start,65,1880,1953,52.132633,5.291265999999999,"52.132633, 5.291265999999999",Europe
61,0,23752,Physics,Dec 1882,Max Born,Male,61,Deceased,Start,Start,Germany (now Poland),Dec 1954,Jan 1970,Nov 1817,Jan 1970,Max,Born,"""for his fundamental research in quantum mechanics especially for his statistical interpretation of the wavefunction""",for his fundamental research in quantum mechanics especially for his statistical interpretation of the wavefunction,Start,72,1880,1954,51.919438,19.145136,"51.919438, 19.145136",Europe
62,0,26702,Physics,Jan 1891,Walther Bothe,Male,62,Deceased,Start,Start,Germany,Dec 1954,Feb 1957,Nov 1817,Feb 1957,Walther,Bothe,"""for the coincidence method and his discoveries made therewith""",for the coincidence method and his discoveries made therewith,Start,63,1890,1954,51.165691,10.451526,"51.165691, 10.451526",Europe
63,0,34922,Physics,Jul 1913,Willis E. Lamb,Male,63,Deceased,Start,Start,USA,Dec 1955,May 2008,Nov 1817,May 2008,Willis E.,Lamb,"""for his discoveries concerning the fine structure of the hydrogen spectrum""",for his discoveries concerning the fine structure of the hydrogen spectrum,Start,42,1910,1955,37.09024,-95.712891,"37.09024, -95.712891",North America
64,0,34024,Physics,Jan 1911,Polykarp Kusch,Male,64,Deceased,Start,Start,Germany,Dec 1955,Mar 1993,Nov 1817,Mar 1993,Polykarp,Kusch,"""for his precision determination of the magnetic moment of the electron""",for his precision determination of the magnetic moment of the electron,Start,44,1910,1955,51.165691,10.451526,"51.165691, 10.451526",Europe
65,0,33677,Physics,Feb 1910,William B. Shockley,Male,65,Deceased,Start,Start,United Kingdom,Dec 1956,Aug 1989,Nov 1817,Aug 1989,William B.,Shockley,"""for their researches on semiconductors and their discovery of the transistor effect""",for their researches on semiconductors and their discovery of the transistor effect,Start,46,1910,1956,55.378051,-3.435973,"55.378051, -3.435973",Europe
66,0,33046,Physics,May 1908,John Bardeen,Male,66,Deceased,Start,Start,USA,Dec 1956,Jan 1991,Nov 1817,Jan 1991,John,Bardeen,"""for their researches on semiconductors and their discovery of the transistor effect""",for their researches on semiconductors and their discovery of the transistor effect,Start,48,1900,1956,37.09024,-95.712891,"37.09024, -95.712891",North America
67,0,33046,Physics,May 1908,John Bardeen,Male,66,Deceased,Start,Start,USA,Dec 1972,Jan 1991,Nov 1817,Jan 1991,John,Bardeen,"""for their jointly developed theory of superconductivity usually called the BCS-theory""",for their jointly developed theory of superconductivity usually called the BCS-theory,Start,64,1900,1972,37.09024,-95.712891,"37.09024, -95.712891",North America
68,0,30752,Physics,Feb 1902,Walter H. Brattain,Male,67,Deceased,Start,Start,China,Dec 1956,Oct 1987,Nov 1817,Oct 1987,Walter H.,Brattain,"""for their researches on semiconductors and their discovery of the transistor effect""",for their researches on semiconductors and their discovery of the transistor effect,Start,54,1900,1956,35.86166,104.195397,"35.86166, 104.195397",Asia
69,0,38281,Physics,Sep 1922,Chen Ning Yang,Male,68,Alive,Start,Start,China,Dec 1957,,Nov 1817,Mar 2023,Chen Ning,Yang,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles,Start,35,1920,1957,35.86166,104.195397,"35.86166, 104.195397",Asia
70,0,39805,Physics,Nov 1926,Tsung-Dao Lee,Male,69,Alive,Start,Start,China,Dec 1957,,Nov 1817,Mar 2023,Tsung-Dao,Lee,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles,Start,31,1920,1957,35.86166,104.195397,"35.86166, 104.195397",Asia
71,0,31651,Physics,Jul 1904,Pavel A. Cherenkov,Male,70,Deceased,Start,Start,Russia,Dec 1958,Jan 1990,Nov 1817,Jan 1990,Pavel A.,Cherenkov,"""for the discovery and the interpretation of the Cherenkov effect""",for the discovery and the interpretation of the Cherenkov effect,Start,54,1900,1958,61.52401,105.318756,"61.52401, 105.318756",Asia
72,0,28344,Physics,Jul 1895,Igor Y. Tamm,Male,71,Deceased,Start,Start,Russia,Dec 1958,Apr 1971,Nov 1817,Apr 1971,Igor Y.,Tamm,"""for the discovery and the interpretation of the Cherenkov effect""",for the discovery and the interpretation of the Cherenkov effect,Start,63,1890,1958,61.52401,105.318756,"61.52401, 105.318756",Asia
